customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit
320,"Mini Creations Ltd.",Huang,Wing,5085559555,"4575 Hillside Dr.","New Bedford",MA,50553,USA,1188,94500.00
321,"Corporate Gift Ideas Co.",Brown,Julie,6505551386,"7734 Strong St.","San Francisco",CA,94217,USA,1165,105000.00
323,"Down Under Souveniers, Inc",Graham,Mike,6493125555,"162-164 Grafton Road","Auckland  ",unknow,NULL,"New Zealand",1612,88000.00
324,"Stylish Desk Decors, Co.",Brown,"Ann ",1715550297,"35 King George",London,unknow,"WX3 6FW",UK,1501,77000.00
328,"Tekni Collectables Inc.",Brown,William,2015559350,"7476 Moss Rd.",Newark,NJ,94019,USA,1323,43000.00
333,"Australian Gift Network, Co",Calaghan,Ben,61738446555,"31 Duncan St. West End","South Brisbane",Queensland,4101,Australia,1611,51600.00
334,"Suominen Souveniers",Suominen,Kalle,35898045555,"Software Engineering Center",Espoo,unknow,FIN-02271,Finland,1501,98800.00
335,"Cramer Spezialitäten, Ltd",Cramer,"Philip ",055509555,"Maubelstr. 90",Brandenburg,unknow,14776,Germany,NULL,0.00
339,"Classic Gift Ideas, Inc",Cervantes,Francisca,2155554695,"782 First Street",Philadelphia,PA,71270,USA,1188,81100.00
344,"CAF Imports",Fernandez,Jesus,34913728555,"Merchants House",Madrid,unknow,28023,Spain,1702,59600.00
347,"Men 'R' US Retailers, Ltd.",Chandler,Brian,2155554369,"6047 Douglas Av.","Los Angeles",CA,91003,USA,1166,57700.00
348,"Asian Treasures, Inc.",McKenna,"Patricia ",2967555,"8 Johnstown Road",Cork,"Co. Cork",NULL,Ireland,NULL,0.00
350,"Marseille Mini Autos",Lebihan,"Laurence ",91244555,"12, rue des Bouchers",Marseille,unknow,13008,France,1337,65000.00
353,"Reims Collectables",Henriot,"Paul ",26471555,"59 rue de l'Abbaye",Reims,unknow,51100,France,1337,81100.00
356,"SAR Distributors, Co",Kuger,Armand,27215503555,"1250 Pretorius Street",Hatfield,Pretoria,0028,"South Africa",NULL,0.00
357,GiftsForHim.com,MacKinlay,Wales,6493763555,"199 Great North Road",Auckland,unknow,NULL,"New Zealand",1612,77700.00
361,"Kommission Auto",Josephs,Karin,0251555259,"Luisenstr. 48",Münster,unknow,44087,Germany,NULL,0.00
362,Gifts4AllAges.com,Yoshido,Juri,6175559555,"8616 Spinnaker Dr.",Boston,MA,51003,USA,1216,41900.00
363,"Online Diecast Creations Co.",Young,Dorothy,6035558647,"2304 Long Airport Avenue",Nashua,NH,62005,USA,1216,114200.00
369,"Lisboa Souveniers, Inc",Rodriguez,"Lino ",13542555,"Jardim das rosas n. 32",Lisboa,unknow,1675,Portugal,NULL,0.00
376,"Precious Collectables",Urs,Braun,0452076555,"Hauptstr. 29",Bern,unknow,3012,Switzerland,1702,0.00
379,"Collectables For Less Inc.",Nelson,Allen,6175558555,"7825 Douglas Av.",Brickhaven,MA,58339,USA,1188,70700.00
381,"Royale Belge",Cartrain,"Pascale ",07123672555,"Boulevard Tirou, 255",Charleroi,unknow,B-6000,Belgium,1401,23500.00
382,"Salzburg Collectables",Pipps,"Georg ",65629555,"Geislweg 14",Salzburg,unknow,5020,Austria,1401,71700.00
385,"Cruz & Sons Co.",Cruz,Arnold,6325553587,"15 McCallum Street","Makati City",unknow,"1227 MM",Philippines,1621,81500.00
386,"L'ordine Souveniers",Moroni,"Maurizio ",0522556555,"Strada Provinciale 124","Reggio Emilia",unknow,42100,Italy,1401,121400.00
398,"Tokyo Collectables, Ltd",Shimamura,Akiko,81335840555,"2-2-8 Roppongi",Minato-ku,Tokyo,106-0032,Japan,1621,94400.00
406,"Auto Canal+ Petit",Perrier,Dominique,147556555,"25, rue Lauriston",Paris,unknow,75016,France,1337,95000.00
409,"Stuttgart Collectable Exchange",Müller,"Rita ",0711555361,"Adenauerallee 900",Stuttgart,unknow,70563,Germany,NULL,0.00
412,"Extreme Desk Decorations, Ltd",McRoy,Sarah,044999555,"101 Lambton Quay",Wellington,unknow,NULL,"New Zealand",1612,86800.00
415,"Bavarian Collectables Imports, Co.",Donnermeyer,Michael,498961089555,"Hansastr. 15",Munich,unknow,80686,Germany,1504,77000.00
424,"Classic Legends Inc.",Hernandez,Maria,2125558493,"5905 Pompton St.",NYC,NY,10022,USA,1286,67500.00
443,"Feuer Online Stores, Inc",Feuer,"Alexander ",0342555176,"Heerstr. 22",Leipzig,unknow,04179,Germany,NULL,0.00
447,"Gift Ideas Corp.",Lewis,Dan,2035554407,"2440 Pompton St.",Glendale,CT,97561,USA,1323,49700.00
448,"Scandinavian Gift Ideas",Larsson,Martha,0695346555,"Åkergatan 24",Bräcke,unknow,"S-844 67",Sweden,1504,116400.00
450,"The Sharp Gifts Warehouse",Frick,Sue,4085553659,"3086 Ingle Ln.","San Jose",CA,94217,USA,1165,77600.00
452,"Mini Auto Werke",Mendel,"Roland ",76753555,"Kirchgasse 6",Graz,unknow,8010,Austria,1401,45300.00
455,"Super Scale Inc.",Murphy,Leslie,2035559545,"567 North Pendale Street","New Haven",CT,97823,USA,1286,95400.00
456,"Microscale Inc.",Choi,Yu,2125551957,"5290 North Pendale Street",NYC,NY,10022,USA,1286,39800.00
458,"Corrida Auto Replicas, Ltd",Sommer,"Martín ",915552282,"C/ Araquil, 67",Madrid,unknow,28023,Spain,1702,104600.00
459,"Warburg Exchange",Ottlieb,"Sven ",0241039123,"Walserweg 21",Aachen,unknow,52066,Germany,NULL,0.00
462,FunGiftIdeas.com,Benitez,Violeta,5085552555,"1785 First Street","New Bedford",MA,50553,USA,1216,85800.00
465,"Anton Designs, Ltd.",Anton,Carmen,34913728555,"c/ Gobelas, 19-1 Urb. La Florida",Madrid,unknow,28023,Spain,NULL,0.00
471,"Australian Collectables, Ltd",Clenahan,Sean,61938446555,"7 Allen Street","Glen Waverly",Victoria,3150,Australia,1611,60300.00
473,"Frau da Collezione",Ricotti,Franco,39022515555,"20093 Cologno Monzese",Milan,unknow,NULL,Italy,1401,34800.00
475,"West Coast Collectables Co.",Thompson,Steve,3105553722,"3675 Furth Circle",Burbank,CA,94019,USA,1166,55400.00
477,"Mit Vergnügen & Co.",Moos,"Hanna ",062108555,"Forsterstr. 57",Mannheim,unknow,68306,Germany,NULL,0.00
480,"Kremlin Collectables, Co.",Semenov,"Alexander ",78122930521,"2 Pobedy Square","Saint Petersburg",unknow,196143,Russia,NULL,0.00
481,"Raanan Stores, Inc","Altagar,G M",Raanan,97299598555,"3 Hagalim Blv.",Herzlia,unknow,47625,Israel,NULL,0.00
484,"Iberia Gift Imports, Corp.",Roel,"José Pedro ",955558282,"C/ Romero, 33",Sevilla,unknow,41101,Spain,1702,65700.00
486,"Motor Mint Distributors Inc.",Salazar,Rosa,2155559857,"11328 Douglas Av.",Philadelphia,PA,71270,USA,1323,72600.00
487,"Signal Collectibles Ltd.",Taylor,Sue,4155554312,"2793 Furth Circle",Brisbane,CA,94217,USA,1165,60300.00
489,"Double Decker Gift Stores, Ltd",Smith,"Thomas ",1715557555,"120 Hanover Sq.",London,unknow,"WA1 1DP",UK,1501,43300.00
495,"Diecast Collectables",Franco,Valarie,6175552555,"6251 Ingle Ln.",Boston,MA,51003,USA,1188,85100.00
496,"Kelly's Gift Shop",Snowden,Tony,6495555500,"Arenales 1938 3'A'","Auckland  ",unknow,NULL,"New Zealand",1612,110000.00
